[INFO][cal.go:93]2021/05/01 23:49:09 [剩余钱：95.324500, 剩余币：23.997000, 订单中的钱：0.000000, 订单中的币：0.000000, 如果现在平仓盈利：0.999981, 币价格涨幅：0.999936]
[INFO][cal.go:93]2021/05/02 00:16:23 [剩余钱：95.353125, 剩余币：20.997000, 订单中的钱：4.641900, 订单中的币：0.000000, 如果现在平仓盈利：1.001177, 币价格涨幅：0.994956]
[INFO][cal.go:93]2021/05/02 01:02:50 [剩余钱：100.057516, 剩余币：17.997000, 订单中的钱：4.641900, 订单中的币：0.000000, 如果现在平仓盈利：1.002601, 币价格涨幅：0.988519]
[INFO][cal.go:93]2021/05/02 05:46:09 [剩余钱：95.142616, 剩余币：20.994000, 订单中的钱：4.641900, 订单中的币：0.000000, 如果现在平仓盈利：1.010580, 币价格涨幅：0.952567]
[INFO][cal.go:93]2021/05/02 05:50:48 [剩余钱：90.265216, 剩余币：23.991000, 订单中的钱：4.641900, 订单中的币：0.000000, 如果现在平仓盈利：1.008894, 币价格涨幅：0.958661]
[INFO][cal.go:93]2021/05/02 06:00:42 [剩余钱：90.294539, 剩余币：20.991000, 订单中的钱：9.484200, 订单中的币：0.000000, 如果现在平仓盈利：1.008887, 币价格涨幅：0.958543]
[INFO][cal.go:93]2021/05/02 06:02:59 [剩余钱：90.294539, 剩余币：23.988000, 订单中的钱：4.641900, 订单中的币：0.000000, 如果现在平仓盈利：1.006873, 币价格涨幅：0.965910]
[INFO][cal.go:93]2021/05/02 06:17:12 [剩余钱：90.323865, 剩余币：20.988000, 订单中的钱：9.482100, 订单中的币：0.000000, 如果现在平仓盈利：1.009545, 币价格涨幅：0.956719]
[INFO][cal.go:93]2021/05/02 06:33:30 [剩余钱：95.228156, 剩余币：17.988000, 订单中的钱：9.482100, 订单中的币：0.000000, 如果现在平仓盈利：1.011209, 币价格涨幅：0.950128]
[INFO][cal.go:93]2021/05/02 06:46:55 [剩余钱：100.196469, 剩余币：11.988000, 订单中的钱：14.391000, 订单中的币：0.000000, 如果现在平仓盈利：1.012637, 币价格涨幅：0.942771]
[INFO][cal.go:93]2021/05/02 06:53:14 [剩余钱：100.226590, 剩余币：8.988000, 订单中的钱：19.334700, 订单中的币：0.000000, 如果现在平仓盈利：1.013459, 币价格涨幅：0.936820]
[INFO][cal.go:93]2021/05/02 07:01:58 [剩余钱：100.226590, 剩余币：11.985000, 订单中的钱：14.391000, 订单中的币：0.000000, 如果现在平仓盈利：1.012212, 币价格涨幅：0.946665]
[INFO][cal.go:93]2021/05/02 07:04:09 [剩余钱：95.287990, 剩余币：14.982000, 订单中的钱：14.391000, 订单中的币：0.000000, 如果现在平仓盈利：1.012141, 币价格涨幅：0.946838]
[INFO][cal.go:93]2021/05/02 07:24:47 [剩余钱：90.348190, 剩余币：14.979000, 订单中的钱：14.391000, 订单中的币：3.000000, 如果现在平仓盈利：1.012183, 币价格涨幅：0.946435]
[INFO][cal.go:93]2021/05/02 07:51:45 [剩余钱：100.288639, 剩余币：11.979000, 订单中的钱：14.391000, 订单中的币：0.000000, 如果现在平仓盈利：1.013725, 币价格涨幅：0.939588]
[INFO][cal.go:93]2021/05/02 08:05:43 [剩余钱：95.349139, 剩余币：14.976000, 订单中的钱：14.391000, 订单中的币：0.000000, 如果现在平仓盈利：1.012539, 币价格涨幅：0.946780]
[INFO][cal.go:93]2021/05/02 08:06:14 [剩余钱：95.349139, 剩余币：17.973000, 订单中的钱：9.482100, 订单中的币：0.000000, 如果现在平仓盈利：1.010961, 币价格涨幅：0.954317]
