[INFO][limit_trade.go:135]2021/05/09 18:19:39 [Limit交易方式 剩余钱：95.000000, 剩余币：19.996700, 订单中的钱：0.000000, 订单中的币：3.300000, 如果现在平仓盈利：-0.000068, 币价格涨幅：-0.000001]
[INFO][limit_trade.go:135]2021/05/09 18:21:03 [Limit交易方式 剩余钱：90.000000, 剩余币：19.993400, 订单中的钱：0.000000, 订单中的币：6.600000, 如果现在平仓盈利：-0.001367, 币价格涨幅：-0.000048]
[INFO][limit_trade.go:135]2021/05/09 18:21:22 [Limit交易方式 剩余钱：85.000000, 剩余币：19.990100, 订单中的钱：0.000000, 订单中的币：9.900000, 如果现在平仓盈利：-0.001959, 币价格涨幅：-0.000061]
[INFO][limit_trade.go:135]2021/05/09 18:21:41 [Limit交易方式 剩余钱：80.000000, 剩余币：19.986800, 订单中的钱：0.000000, 订单中的币：13.200000, 如果现在平仓盈利：-0.002869, 币价格涨幅：-0.000081]
[INFO][limit_trade.go:135]2021/05/09 18:27:54 [Limit交易方式 剩余钱：79.987458, 剩余币：10.086800, 订单中的钱：15.000000, 订单中的币：13.200000, 如果现在平仓盈利：-0.000274, 币价格涨幅：0.000002]
[INFO][limit_trade.go:135]2021/05/09 18:37:24 [Limit交易方式 剩余钱：84.997603, 剩余币：10.086800, 订单中的钱：15.000000, 订单中的币：9.900000, 如果现在平仓盈利：0.000675, 币价格涨幅：0.000045]
[INFO][limit_trade.go:135]2021/05/09 18:37:25 [Limit交易方式 剩余钱：85.008587, 剩余币：6.786800, 订单中的钱：20.000000, 订单中的币：9.900000, 如果现在平仓盈利：0.000665, 币价格涨幅：0.000047]
[INFO][limit_trade.go:135]2021/05/09 18:40:33 [Limit交易方式 剩余钱：80.008587, 剩余币：6.783500, 订单中的钱：20.000000, 订单中的币：13.200000, 如果现在平仓盈利：-0.000204, 币价格涨幅：-0.000002]
[INFO][limit_trade.go:135]2021/05/09 18:41:24 [Limit交易方式 剩余钱：80.019241, 剩余币：3.483500, 订单中的钱：25.000000, 订单中的币：13.200000, 如果现在平仓盈利：0.000705, 币价格涨幅：0.000046]
[INFO][limit_trade.go:135]2021/05/09 18:42:52 [Limit交易方式 剩余钱：85.034713, 剩余币：3.483500, 订单中的钱：25.000000, 订单中的币：9.900000, 如果现在平仓盈利：0.000944, 币价格涨幅：0.000064]
[INFO][limit_trade.go:135]2021/05/09 18:47:58 [Limit交易方式 剩余钱：90.055180, 剩余币：3.483500, 订单中的钱：25.000000, 订单中的币：6.600000, 如果现在平仓盈利：0.001053, 币价格涨幅：0.000076]
[INFO][limit_trade.go:135]2021/05/09 18:48:43 [Limit交易方式 剩余钱：100.107214, 剩余币：3.483500, 订单中的钱：25.000000, 订单中的币：-0.000000, 如果现在平仓盈利：0.001129, 币价格涨幅：0.000095]
