[INFO][trade.go:89]2021/05/10 15:50:10 [Limit交易方式 剩余钱：95.000000, 剩余币：20.020000, 订单中的钱：0.000000, 订单中的币：3.070000, 按照现价盈利：1.680098 钱，百分比 1.285345 ,按照策略开始时价格盈利 -0.255019, 如果不做交易盈利 1.676152, 币价涨0.083808 ，百分比5.457671]
[INFO][trade.go:89]2021/05/10 15:50:10 [Limit交易方式 剩余钱：95.015120, 剩余币：16.920000, 订单中的钱：5.000000, 订单中的币：3.070000, 按照现价盈利：1.683073 钱，百分比 1.287621 ,按照策略开始时价格盈利 -0.000236, 如果不做交易盈利 1.684152, 币价涨0.084208 ，百分比5.483719]
[INFO][trade.go:89]2021/05/10 15:50:12 [Limit交易方式 剩余钱：95.031302, 剩余币：16.910000, 订单中的钱：5.000000, 订单中的币：3.070000, 按照现价盈利：1.687053 钱，百分比 1.290666 ,按照策略开始时价格盈利 0.000590, 如果不做交易盈利 1.688152, 币价涨0.084408 ，百分比5.496744]
[INFO][trade.go:89]2021/05/10 15:50:17 [Limit交易方式 剩余钱：90.046422, 剩余币：10.750000, 订单中的钱：15.000000, 订单中的币：6.130000, 按照现价盈利：1.670045 钱，百分比 1.277654 ,按照策略开始时价格盈利 0.255373, 如果不做交易盈利 1.676152, 币价涨0.083808 ，百分比5.457671]
[INFO][trade.go:89]2021/05/10 15:50:17 [Limit交易方式 剩余钱：90.062599, 剩余币：10.740000, 订单中的钱：15.000000, 订单中的币：6.130000, 按照现价盈利：1.670029 钱，百分比 1.277642 ,按照策略开始时价格盈利 0.256195, 如果不做交易盈利 1.676152, 币价涨0.083808 ，百分比5.457671]
[INFO][trade.go:89]2021/05/10 15:50:18 [Limit交易方式 剩余钱：90.062599, 剩余币：13.830000, 订单中的钱：10.000000, 订单中的币：6.130000, 按照现价盈利：1.656011 钱，百分比 1.266917 ,按照策略开始时价格盈利 0.001176, 如果不做交易盈利 1.658152, 币价涨0.082908 ，百分比5.399062]
[INFO][trade.go:89]2021/05/10 15:50:27 [Limit交易方式 剩余钱：85.088924, 剩余币：7.650000, 订单中的钱：20.000000, 订单中的币：9.200000, 按照现价盈利：1.637006 钱，百分比 1.252377 ,按照策略开始时价格盈利 0.251808, 如果不做交易盈利 1.644152, 币价涨0.082208 ，百分比5.353477]
[INFO][trade.go:89]2021/05/10 15:51:08 [Limit交易方式 剩余钱：85.088924, 剩余币：10.740000, 订单中的钱：15.000000, 订单中的币：9.200000, 按照现价盈利：1.602110 钱，百分比 1.225680 ,按照策略开始时价格盈利 -0.003212, 如果不做交易盈利 1.610152, 币价涨0.080508 ，百分比5.242770]
[INFO][trade.go:89]2021/05/10 15:52:18 [Limit交易方式 剩余钱：80.088924, 剩余币：10.760000, 订单中的钱：15.000000, 订单中的币：12.280000, 按照现价盈利：1.570548 钱，百分比 1.201534 ,按照策略开始时价格盈利 -0.242875, 如果不做交易盈利 1.574152, 币价涨0.078708 ，百分比5.125551]
[INFO][trade.go:89]2021/05/10 15:52:19 [Limit交易方式 剩余钱：80.104376, 剩余币：7.650000, 订单中的钱：20.000000, 订单中的币：12.280000, 按照现价盈利：1.565527 钱，百分比 1.197693 ,按照策略开始时价格盈利 -0.003115, 如果不做交易盈利 1.574152, 币价涨0.078708 ，百分比5.125551]
[INFO][trade.go:89]2021/05/10 15:52:19 [Limit交易方式 剩余钱：80.120503, 剩余币：7.640000, 订单中的钱：20.000000, 订单中的币：12.280000, 按照现价盈利：1.567503 钱，百分比 1.199205 ,按照策略开始时价格盈利 -0.002344, 如果不做交易盈利 1.576152, 币价涨0.078808 ，百分比5.132064]
